### Coverage: PHP files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
| `kunaal-theme\blocks\takeaways\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\timeline\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\timeline-item\edit.js` | js:window_global | CAN-JS-ARCH-001 |

### Coverage: CSS files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
|---|---|---|
| `kunaal-theme\assets\css\about-page.css` | css:global_selector, css:important, css:print | CAN-CSS-ARCH-001, CAN-CSS-ARCH-002, CAN-CSS-PRINT-001 |
| `kunaal-theme\assets\css\editor-style.css` | css:global_selector | CAN-CSS-ARCH-002 |
| `kunaal-theme\assets\css\pdf-ebook.css` | css:global_selector, css:important, css:print | CAN-CSS-ARCH-001, CAN-CSS-ARCH-002, CAN-CSS-PRINT-001 |
| `kunaal-theme\assets\css\print.css` | css:global_selector, css:important, css:print | CAN-CSS-ARCH-001, CAN-CSS-ARCH-002, CAN-CSS-PRINT-001 |
| `kunaal-theme\assets\js\components\color-picker.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\accordion\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\annotation\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\argument-map\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\aside\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\assumptions-register\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\causal-loop\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\chart\style.css` | css:print | CAN-CSS-PRINT-001 |
| `kunaal-theme\blocks\citation\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\confidence-meter\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\context-panel\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\data-map\style.css` | css:dark_mode | CAN-CSS-DARK-001 |
| `kunaal-theme\blocks\debate\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\debate-side\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\decision-entry\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\decision-log\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\dumbbell-chart\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\flowchart\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\flowchart-step\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\flow-diagram\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\footnote\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\footnotes-section\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\framework-matrix\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\glossary\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\glossary-term\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\heatmap\style.css` | css:dark_mode | CAN-CSS-DARK-001 |
| `kunaal-theme\blocks\inline-formats\style.css` | css:important, css:print | CAN-CSS-ARCH-001, CAN-CSS-PRINT-001 |
| `kunaal-theme\blocks\insight\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\know-dont-know\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\lede-package\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\magazine-figure\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\network-graph\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\parallax-section\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\pub-table\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\pullquote\style.css` | css:important | CAN-CSS-ARCH-001 |
| `kunaal-theme\blocks\related-link\style.css` | css:important | CAN-CSS-ARCH-001 |
| `kunaal-theme\blocks\related-reading\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\reveal-wrapper\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\rubric\style.css` | css:important | CAN-CSS-ARCH-001 |
| `kunaal-theme\blocks\rubric-row\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\scenario-compare\style.css` | css:important | CAN-CSS-ARCH-001 |
| `kunaal-theme\blocks\scrolly-step\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\scrollytelling\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\section-header\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\sidenote\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\slopegraph\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\small-multiples\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\source-excerpt\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\statistical-distribution\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\takeaway-item\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\takeaways\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\timeline\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\timeline-item\style.css` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\style.css` | css:dark_mode, css:global_selector, css:important, css:print | CAN-CSS-ARCH-001, CAN-CSS-ARCH-002, CAN-CSS-DARK-001, CAN-CSS-PRINT-001 |

### Coverage: Blocks (all block directories)
| Block | Files present | Notable tags | Linked canonical finding IDs (heuristic mapping) |
|---|---|---|---|
| `accordion` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `annotation` | block.json, edit.js, render.php, style.css, view.js | window_global | CAN-JS-ARCH-001 |
| `argument-map` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `aside` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `assumptions-register` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `causal-loop` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `chart` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `citation` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `confidence-meter` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `context-panel` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `data-map` | block.json, edit.js, render.php, style.css, view.js | dynamic_script, remote_dependency, setInterval, window_global | CAN-JS-ARCH-001, CAN-PERF-FE-THIRDPARTY-001, CAN-PERF-FE-TIMER-001, CAN-SEC-JS-DOM-002 |
| `debate` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `debate-side` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `decision-entry` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `decision-log` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `dumbbell-chart` | block.json, edit.js, render.php, style.css, view.js | dom_sink, window_global | CAN-JS-ARCH-001, CAN-SEC-JS-DOM-001 |
| `flowchart` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `flowchart-step` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `flow-diagram` | block.json, edit.js, render.php, style.css, view.js | dom_sink, dynamic_script, remote_dependency, setInterval, window_global | CAN-JS-ARCH-001, CAN-PERF-FE-THIRDPARTY-001, CAN-PERF-FE-TIMER-001, CAN-SEC-JS-DOM-001, CAN-SEC-JS-DOM-002 |
| `footnote` | block.json, edit.js, render.php, style.css, view.js | dom_sink, window_global | CAN-JS-ARCH-001, CAN-SEC-JS-DOM-001 |
| `footnotes-section` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `framework-matrix` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `glossary` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `glossary-term` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `heatmap` | block.json, edit.js, render.php, style.css, view.js | window_global | CAN-JS-ARCH-001 |
| `inline-formats` | style.css, index.js | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `insight` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `know-dont-know` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `lede-package` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `magazine-figure` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `network-graph` | block.json, edit.js, render.php, style.css, view.js | dom_sink, dynamic_script, remote_dependency, setInterval, window_global | CAN-JS-ARCH-001, CAN-PERF-FE-THIRDPARTY-001, CAN-PERF-FE-TIMER-001, CAN-SEC-JS-DOM-001, CAN-SEC-JS-DOM-002 |
| `parallax-section` | block.json, edit.js, render.php, style.css, view.js | window_global | CAN-JS-ARCH-001 |
| `pub-table` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `pullquote` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `related-link` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `related-reading` | block.json, edit.js, render.php, style.css | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
